Atomic Number,Abbreviation,AtomicVolume,AtomicWeight,BoilingT,BoilingTemp,BulkModulus,Column,CovalentRadius,Density,DipolePolarizability,ElectronAffinity,Electronegativity,FirstIonizationEnergy,FusionEnthalpy,GSbandgap,GSenergy_pa,GSestBCClatcnt,GSestFCClatcnt,GSmagmom,GSvolume_pa,HeatCapacityMass,HeatCapacityMolar,HeatFusion,HHIp,HHIr,ICSDVolume,IonizationEnergies_1,IonizationEnergies_2,IonizationEnergies_3,IonizationEnergies_4,IonizationEnergies_5,IonizationEnergies_6,IonizationEnergies_7,IonizationEnergies_8,IsAlkali,IsDBlock,IsFBlock,IsMetal,IsMetalloid,IsNonmetal,MeltingT,MendeleevNumber,MiracleRadius,NdUnfilled,NdValence,NfUnfilled,NfValence,NpUnfilled,NpValence,NsUnfilled,NsValence,Number,NUnfilled,NValence,n_ws^third,OxidationStates,phi,Polarizability,Row,ShearModulus,SpaceGroupNumber,ZungerPP-r_d,ZungerPP-r_p,ZungerPP-r_pi,ZungerPP-r_s,ZungerPP-r_sigma
11,Na,39.43832888,22.98976928,1156,1156,6.3,1,166,968,24.11,52.8,0.93,5.139076,2.6,0,-1.260241383,3.88167309,4.890601634,0,29.24333333,1.228,28.23,2.6,1100,500,39.76,5.139076,47.2864,71.62,98.91,138.4,172.18,208.5,264.25,1,0,0,1,0,0,370.87,2,180,0,0,0,0,0,0,1,1,11,1,1,0.82,3,2.7,24.11,3,3.3,229,,1.55,0.45,1.1,2.65
12,Mg,23.2222931,24.305,1363,1363,45,2,141,1738,10.76666667,0,1.31,7.646235,8.48,0,-1.54227231,3.577326635,4.50714913,0,22.89,1.023,24.869,8.48,5300,500,23.48,7.646235,15.03527,80.1437,109.2655,141.27,186.76,225.02,265.96,1,0,0,1,0,0,923,68,160,0,0,0,0,0,0,0,2,12,0,2,1.17,-4 2 4,3.45,10.76666667,3,17,194,,1.13,0.23,0.9,2.03
13,Al,16.59442452,26.9815386,2792,2792,76,13,121,2700,6.8,42.5,1.61,5.985768,10.71,0,-3.74542312,3.206237833,4.039606536,0,16.48,0.897,24.2,10.71,1.60E+03,1.00E+03,16.61,5.985768,18.82855,28.44765,119.992,153.825,190.49,241.76,284.66,0,0,0,1,0,0,933.47,73,141,0,0,0,0,5,1,0,2,13,5,3,1.39,-3 3 5,4.2,6.8,3,26,225,,0.905,0.135,0.77,1.675
14,Si,20.01637772,28.0855,3173,3173,100,14,111,2330,5.53,133.6,1.9,8.15168,50.21,0.773,-5.424918005,3.444849839,4.340238825,0,20.44,0.712,19.99,50.21,4700,1000,20.02,8.15168,16.34584,33.49302,45.14181,166.767,205.27,246.5,303.54,0,0,0,0,1,0,1687,78,110,0,0,0,0,4,2,0,2,14,4,4,1.5,-2 4 6,4.7,5.53,3,,227,,0.74,0.06,0.68,1.42
15,P,28.21412182,30.973762,553.5,553.5,11,15,107,1823,3.63,72,2.19,10.48669,18.54,1.625,-5.400509043,3.560590636,4.486063093,0,22.5702381,0.769,23.824,18.54,2000,5100,18.99,10.48669,19.7695,30.2027,51.4439,65.0251,220.421,263.57,309.6,0,0,0,0,0,1,317.3,83,102,0,0,0,0,3,3,0,2,15,3,5,1.65,-1 1 5 7,5.55,3.63,3,,2,,0.64,0.04,0.6,1.24
16,S,27.16654579,32.065,717.72,717.72,7.7,16,105,1960,2.9,2.00E+02,2.58,10.36001,1.721,2.202,-4.097216719,3.722284555,4.689784664,0,25.786875,0.708,22.7,1.721,700,1000,25.76,10.36001,23.33788,34.79,47.222,72.5945,88.053,280.948,328.75,0,0,0,0,0,1,388.36,88,103,0,0,0,0,2,4,0,2,16,2,6,,1,,2.9,3,,70,,0.56,0.02,0.54,1.1
17,Cl,18317.50704,35.453,238.96,238.96,1.1,17,102,3.214,2.18,349,3.16,12.96763,3.2,2.493,-1.784433755,3.65918124,4.610279469,0,24.4975,0.479,33.949,3.2,1500,1000,29.05,12.96763,23.8136,39.61,53.4652,67.8,97.03,114.1958,348.28,0,0,0,0,0,1,171.6,94,,0,0,0,0,1,5,0,2,17,1,7,,2,,2.18,3,,64,,0.51,0.01,0.5,1.01
18,Ar,37184.28542,39.948,87.2,87.2,,18,106,1.784,1.6411,0,,15.75961,1.18,9.26,0.05854104,3.850300758,4.851074973,0,28.54,0.52,20.786,1.18,,,36.3,15.75961,27.62966,40.74,59.81,75.02,91.009,124.323,143.46,0,0,0,0,0,1,83.8,100,,0,0,0,0,0,6,0,2,18,0,8,,3,,1.6411,3,,225,,0.46,0,0.46,0.92
19,K,75.84786468,39.0983,1032,1032,3.1,1,203,856,43.23,48.4,0.82,4.3406633,2.335,0,-1.097539713,5.268200874,6.637517176,0,73.10666667,0.757,29.6,2.335,1700,7200,75.63,4.3406633,31.63,45.806,60.91,82.66,99.4,117.56,154.88,1,0,0,1,0,0,336.53,3,230,0,0,0,0,0,0,1,1,19,1,1,0.65,2 3 4,2.25,43.23,4,1.3,229,0.37,2.15,0.61,1.54,3.69
20,Ca,42.9371873,40.078,1757,1757,17,2,176,1550,25.73333333,2.37,1,6.11316,8.54,0,-1.948329565,4.227260324,5.326014266,0,37.77,0.647,25.929,8.54,3900,1500,44.19,6.11316,11.87172,50.9131,67.27,84.5,108.78,127.2,147.24,1,0,0,1,0,0,1115,7,201,0,0,0,0,0,0,0,2,20,0,2,0.91,2 3 4 5,2.55,25.73333333,4,7.4,225,0.34,1.68,0.36,1.32,3
21,Sc,25.00931092,44.955912,3103,3103,57,3,170,2985,17.8,18.1,1.36,6.56149,14.1,0,-6.28551309,3.542874021,4.463741557,6.35E-06,22.235,0.568,25.52,14.1,5500,4500,24.96,6.56149,12.79977,24.75666,73.4894,91.65,110.68,138,158.1,0,1,0,1,0,0,1814,11,162,9,1,0,0,0,0,0,2,21,9,3,1.27,2 3 6,3.25,17.8,4,29,194,0.31,1.53,0.31,1.22,2.75
22,Ti,17.63631716,47.867,3560,3560,110,4,160,4507,14.6,7.6,1.54,6.82812,14.15,0,-7.77522712,3.219799121,4.056692689,2.25E-05,16.69,0.524,25.06,14.15,1100,1600,17.67,6.82812,13.5755,27.4917,43.2672,99.3,119.53,140.8,170.4,0,1,0,1,0,0,1941,43,142,8,2,0,0,0,0,0,2,22,8,4,1.52,2 3 4 7,3.8,14.6,4,44,194,0.28,1.43,0.28,1.15,2.58
