,ID,Ele1,Wt1,Ele2,Wt2,Ele3,Wt3,Reactor,Wt(g),NH3,Space Velocity,Ramp Direction,Temperature,Pred Value,Concentration
247,34,Ru,2.0,Mg,2.0,K,12.0,11.0,0.2,0.010539845758354751,2304.8250000000007,up,450,0.00052034201355572,0.9506309650553232
248,34,Ru,2.0,Mg,2.0,K,12.0,11.0,0.2,0.010539845758354751,2304.8250000000007,up,450,0.000175834024863005,0.9833172108117784
249,35,Ru,1.0,Mg,3.0,K,12.0,12.0,0.19899999999999998,0.01381125226860254,2187.386934673367,down,250,0.007989780573014141,0.4215020899171103
250,35,Ru,1.0,Mg,3.0,K,12.0,12.0,0.19899999999999998,0.01381125226860254,2187.386934673367,down,250,0.00830657799494232,0.3985644579220475
251,35,Ru,1.0,Mg,3.0,K,12.0,12.0,0.19899999999999998,0.01381125226860254,2187.386934673367,down,250,0.00825923741139083,0.4019921401213735
252,35,Ru,1.0,Mg,3.0,K,12.0,12.0,0.19899999999999998,0.01381125226860254,2187.386934673367,down,250,0.00803066860243644,0.4185416031613037
253,35,Ru,1.0,Mg,3.0,K,12.0,12.0,0.19899999999999998,0.01381125226860254,2187.386934673367,down,250,0.00795977694391194,0.4236744945998057
254,35,Ru,1.0,Mg,3.0,K,12.0,12.0,0.19899999999999998,0.01381125226860254,2187.386934673367,up,250,0.00778985306506008,0.4359777872735737
255,35,Ru,1.0,Mg,3.0,K,12.0,12.0,0.19899999999999998,0.01381125226860254,2187.386934673367,up,250,0.0079536355182486,0.4241191628705678
256,35,Ru,1.0,Mg,3.0,K,12.0,12.0,0.19899999999999998,0.01381125226860254,2187.386934673367,up,250,0.00775832084823009,0.4382608689389251
257,35,Ru,1.0,Mg,3.0,K,12.0,12.0,0.19899999999999998,0.01381125226860254,2187.386934673367,up,300,0.00716170800380747,0.4814584612223501
258,35,Ru,1.0,Mg,3.0,K,12.0,12.0,0.19899999999999998,0.01381125226860254,2187.386934673367,up,300,0.00701520704090836,0.4920658239762804
259,35,Ru,1.0,Mg,3.0,K,12.0,12.0,0.19899999999999998,0.01381125226860254,2187.386934673367,up,300,0.00705895221371879,0.4888984665231204
260,35,Ru,1.0,Mg,3.0,K,12.0,12.0,0.19899999999999998,0.01381125226860254,2187.386934673367,down,300,0.00723045587850745,0.4764807898741649
261,35,Ru,1.0,Mg,3.0,K,12.0,12.0,0.19899999999999998,0.01381125226860254,2187.386934673367,down,300,0.00705205886482226,0.4893975775930269
262,35,Ru,1.0,Mg,3.0,K,12.0,12.0,0.19899999999999998,0.01381125226860254,2187.386934673367,down,300,0.00723370757481199,0.4762453516791844
263,35,Ru,1.0,Mg,3.0,K,12.0,12.0,0.19899999999999998,0.01381125226860254,2187.386934673367,up,350,0.00364354099601016,0.7361903956896717
264,35,Ru,1.0,Mg,3.0,K,12.0,12.0,0.19899999999999998,0.01381125226860254,2187.386934673367,up,350,0.00407498428872018,0.7049518603042287
265,35,Ru,1.0,Mg,3.0,K,12.0,12.0,0.19899999999999998,0.01381125226860254,2187.386934673367,up,350,0.00415965279515468,0.6988214599040435
266,35,Ru,1.0,Mg,3.0,K,12.0,12.0,0.19899999999999998,0.01381125226860254,2187.386934673367,down,350,0.0039707105519179,0.7125017721278892
267,35,Ru,1.0,Mg,3.0,K,12.0,12.0,0.19899999999999998,0.01381125226860254,2187.386934673367,down,350,0.0042280225947572605,0.6938711629814388
268,35,Ru,1.0,Mg,3.0,K,12.0,12.0,0.19899999999999998,0.01381125226860254,2187.386934673367,down,350,0.0046290372914771895,0.6648358018917304
269,35,Ru,1.0,Mg,3.0,K,12.0,12.0,0.19899999999999998,0.01381125226860254,2187.386934673367,up,400,0.0008253998526596071,0.9402371460163674
270,35,Ru,1.0,Mg,3.0,K,12.0,12.0,0.19899999999999998,0.01381125226860254,2187.386934673367,up,400,0.00107286596256126,0.9223194289919509
271,35,Ru,1.0,Mg,3.0,K,12.0,12.0,0.19899999999999998,0.01381125226860254,2187.386934673367,up,400,0.000771303427332792,0.9441539831195312
272,35,Ru,1.0,Mg,3.0,K,12.0,12.0,0.19899999999999998,0.01381125226860254,2187.386934673367,up,450,6.9354901765302e-05,0.9949783770206726
273,35,Ru,1.0,Mg,3.0,K,12.0,12.0,0.19899999999999998,0.01381125226860254,2187.386934673367,up,450,0.0,1.0
