,X,Y,Yfit
745,898.478,25,0.000984096
746,899.432,24,0.000984739
747,900.385,25,0.00098556
748,901.338,28.5,0.000986566
749,902.29,28.5,0.000987765
750,903.244,24.5,0.000989171
751,904.195,24,0.000990785
752,905.147,29,0.000992625
753,906.099,25.5,0.000994701
754,907.051,23.5,0.000997024
755,908.001,26.5,0.000999602
756,908.953,25,0.00100246
757,909.903,30,0.0010056
758,910.854,26,0.00100905
759,911.804,25.5,0.00101283
760,912.754,25.5,0.00101694
761,913.704,23,0.00102142
762,914.654,28,0.00102628
763,915.603,27,0.00103154
764,916.551,24,0.00103724
765,917.5,25.5,0.0010434
766,918.448,26,0.00105005
767,919.397,24,0.00105724
768,920.344,26,0.00106497
769,921.292,23,0.00107331
770,922.239,24,0.00108229
771,923.186,23.5,0.00109197
772,924.133,22,0.00110239
773,925.08,26,0.00111361
774,926.027,28,0.0011257
775,926.972,25,0.0011387
776,927.919,25.5,0.00115274
777,928.864,24.5,0.00116785
778,929.809,27,0.00118414
779,930.755,25,0.00120175
780,931.7,25.5,0.00122076
781,932.644,23,0.00124128
782,933.589,26,0.00126352
783,934.532,23.5,0.00128755
784,935.476,27.5,0.00131365
785,936.42,27.5,0.00134199
786,937.363,27,0.00137278
787,938.307,26.5,0.00140636
788,939.249,29,0.00144291
789,940.191,26.5,0.00148284
790,941.134,24,0.00152663
791,942.076,26,0.00157462
792,943.018,25,0.00162741
793,943.959,30,0.00168554
794,944.901,23,0.00174988
795,945.841,26.5,0.00182104
796,946.783,27,0.00190034
797,947.723,24,0.00198863
798,948.664,27,0.0020876
799,949.604,25,0.00219874
800,950.544,23,0.00232421
801,951.483,29,0.00246635
802,952.423,26,0.00262858
803,953.361,26,0.00281414
804,954.3,29.5,0.00302836
805,955.239,23.5,0.00327712
806,956.176,28,0.00356748
807,957.115,21,0.00391069
808,958.053,26,0.00431894
809,958.99,26,0.00480958
810,959.927,27.5,0.00540688
811,960.864,27.5,0.00614396
812,961.801,27.5,0.00706788
813,962.738,30,0.00824723
814,963.674,26.5,0.00978369
815,964.61,26,0.011839
816,965.546,23,0.0146759
817,966.481,26.5,0.0187407
818,967.416,26,0.0248654
819,968.351,30.5,0.0347156
820,969.287,21.5,0.0520756
821,970.22,22,0.0868385
822,971.154,22,0.173514
823,972.088,24.5,0.500276
824,973.023,32,5.64892
825,973.955,27,2.19859
826,974.889,27,0.351656
827,975.822,27.5,0.13969
828,976.754,24.5,0.0743998
829,977.688,24,0.0461513
830,978.62,26,0.0314988
831,979.552,27.5,0.0229227
832,980.482,23,0.0174854
833,981.414,25,0.0138093
834,982.346,23,0.0112138
835,983.276,23,0.00931691
836,984.207,25.5,0.0078843
837,985.137,22,0.00677794
838,986.067,26.5,0.00590491
839,986.998,24.5,0.00520314
840,987.928,26,0.00463166
841,988.857,24,0.00415999
842,989.786,24,0.00376572
843,990.715,26,0.00343273
844,991.644,25.5,0.00314892
845,992.572,26,0.00290523
846,993.501,23.5,0.00269399
847,994.428,25,0.00251019
848,995.355,26,0.00234891
849,996.283,23,0.00220643
850,997.21,24,0.00208019
851,998.137,25,0.00196766
852,999.064,26,0.00186689
853,999.991,25.5,0.00177628
854,1000.92,23.5,0.00169433
855,1001.84,23,0.00162078
856,1002.77,26.5,0.00155318
857,1003.69,23,0.00149218
858,1004.62,26,0.00143577
859,1005.54,27,0.00138456
860,1006.47,26.5,0.00133694
861,1007.39,26.5,0.00129348
862,1008.32,25,0.00125287
863,1009.24,26.5,0.00121565
864,1010.16,27.5,0.00118106
865,1011.09,23,0.00114852
866,1012.01,29,0.0011185
867,1012.93,25,0.00109044
868,1013.86,25,0.0010639
869,1014.78,26,0.00103927
870,1015.7,25.5,0.00101614
871,1016.62,26,0.00099437
872,1017.54,24.5,0.000973854
873,1018.47,23.5,0.000954285
874,1019.39,25.5,0.000935992
875,1020.31,24,0.00091868
876,1021.23,26.5,0.000902272
877,1022.15,26,0.0008867
878,1023.07,27,0.000871907
879,1023.99,26,0.000857835
880,1024.91,27.5,0.000844432
881,1025.83,24,0.000831656
882,1026.75,25.5,0.000819461
883,1027.66,24,0.000807933
884,1028.58,27,0.000796786
885,1029.5,25.5,0.000786113
886,1030.42,24.5,0.000775886
887,1031.34,22,0.000766078
888,1032.26,22,0.000756662
889,1033.17,26,0.000747712
890,1034.09,22.5,0.000739009
891,1035.01,29,0.000730633
892,1035.92,23.5,0.000722652
893,1036.84,25,0.000714873
894,1037.76,22.5,0.000707369
895,1038.67,25,0.000700202
896,1039.59,27.5,0.000693202
897,1040.5,27,0.000686506
898,1041.42,22,0.000679957
899,1042.33,23,0.000673686
900,1043.25,24,0.000667543
901,1044.16,26.5,0.000661653
902,1045.07,24.5,0.00065594
903,1045.99,22.5,0.000650333
904,1046.9,24,0.000644948
905,1047.82,25.5,0.000639658
906,1048.73,24.5,0.000634571
907,1049.64,26,0.000629622
908,1050.55,28.5,0.000624805
909,1051.47,28,0.000620064
910,1052.38,25,0.000615495
911,1053.29,25.5,0.000611041
912,1054.2,23,0.000606698
913,1055.11,25.5,0.00060246
914,1056.02,24,0.000598323
915,1056.93,25,0.000594284
916,1057.84,27,0.000590338
917,1058.75,24.5,0.000586481
918,1059.66,27,0.00058271
919,1060.57,26.5,0.000579021
920,1061.48,25,0.000575412
921,1062.39,26.5,0.000571879
922,1063.3,25.5,0.000568419
923,1064.21,22.5,0.00056503
924,1065.12,25,0.000561709
925,1066.03,26.5,0.000558454
926,1066.94,23,0.000555262
927,1067.84,24,0.000552165
928,1068.75,22,0.000549091
929,1069.66,24.5,0.000546075
930,1070.57,23.5,0.000543114
931,1071.47,24.5,0.000540237
932,1072.38,26,0.000537379
933,1073.29,26,0.000534571
934,1074.19,26,0.00053184
935,1075.1,25,0.000529126
936,1076,24,0.000526485
937,1076.91,22.5,0.000523858
938,1077.81,24,0.000521302
939,1078.72,23.5,0.000518758
940,1079.62,22.5,0.00051628
941,1080.53,26,0.000513813
942,1081.43,27,0.00051141
943,1082.33,24.5,0.000509043
