	X	Y	Yfit
721	875.518	29	0.0848936
722	876.478	33	0.0841062
723	877.437	31.5	0.0833312
724	878.397	33.5	0.0825666
725	879.355	28	0.0818146
726	880.314	28	0.0810724
727	881.272	28	0.0803417
728	882.23	28	0.0796213
729	883.188	28	0.078911
730	884.145	30	0.0782114
731	885.103	31	0.0775208
732	886.06	29	0.0768405
733	887.017	27	0.0761696
734	887.973	30.5	0.0755085
735	888.93	28	0.0748558
736	889.885	30	0.0742132
737	890.842	29.5	0.073578
738	891.797	30	0.0729526
739	892.752	29.5	0.0723356
740	893.707	30.5	0.0717268
741	894.662	31.5	0.071126
742	895.616	25	0.0705337
743	896.571	32	0.0699485
744	897.525	26.5	0.0693716
745	898.478	29.5	0.0688027
746	899.432	30.5	0.0682406
747	900.385	29	0.0676862
748	901.338	30	0.0671389
749	902.29	30	0.0665991
750	903.244	24.5	0.066065
751	904.195	25	0.0655393
752	905.147	30	0.0650196
753	906.099	28.5	0.0645064
754	907.051	29	0.0639995
755	908.001	27.5	0.0634999
756	908.953	31	0.0630054
757	909.903	33.5	0.062518
758	910.854	29	0.062036
759	911.804	31.5	0.0615603
760	912.754	28	0.0610903
761	913.704	27.5	0.060626
762	914.654	31.5	0.0601671
763	915.603	28	0.0597142
764	916.551	31.5	0.0592672
765	917.5	32	0.0588249
766	918.448	29.5	0.0583883
767	919.397	30	0.0579562
768	920.344	30.5	0.0575301
769	921.292	27	0.0571085
770	922.239	27	0.0566921
771	923.186	29	0.0562805
772	924.133	27.5	0.0558736
773	925.08	24	0.0554713
774	926.027	27	0.0550736
775	926.972	30	0.0546811
776	927.919	29	0.0542922
777	928.864	27.5	0.0539085
778	929.809	27	0.053529
779	930.755	27	0.0531533
780	931.7	26	0.0527821
781	932.644	30.5	0.0524154
782	933.589	27	0.0520523
783	934.532	27.5	0.0516939
784	935.476	28.5	0.051339
785	936.42	31.5	0.0509879
786	937.363	29	0.0506409
787	938.307	30	0.0502973
788	939.249	28	0.049958
789	940.191	29	0.0496223
790	941.134	25.5	0.0492899
791	942.076	29	0.0489612
792	943.018	32.5	0.048636
793	943.959	30.5	0.0483145
794	944.901	29	0.047996
795	945.841	31.5	0.0476815
796	946.783	29.5	0.0473695
797	947.723	28.5	0.0470614
798	948.664	28	0.0467561
799	949.604	29	0.0464542
800	950.544	28.5	0.0461553
801	951.483	30	0.0458599
802	952.423	27	0.045567
803	953.361	27	0.0452777
804	954.3	29.5	0.044991
805	955.239	29	0.0447071
806	956.176	26	0.0444266
807	957.115	26	0.0441483
808	958.053	29	0.043873
809	958.99	28	0.0436006
810	959.927	30	0.0433309
811	960.864	25.5	0.0430639
812	961.801	31.5	0.0427994
813	962.738	27.5	0.0425375
814	963.674	24.5	0.0422783
815	964.61	31.5	0.0420216
816	965.546	28.5	0.0417674
817	966.481	24	0.0415158
818	967.416	28	0.0412666
819	968.351	28.5	0.0410197
820	969.287	25	0.0407749
821	970.22	26.5	0.0405332
822	971.154	25.5	0.0402934
823	972.088	27	0.0400559
824	973.023	30	0.0398203
825	973.955	29.5	0.0395876
826	974.889	27.5	0.0393565
827	975.822	31	0.0391278
828	976.754	30.5	0.0389014
829	977.688	27.5	0.0386766
830	978.62	30	0.0384543
831	979.552	25	0.038234
832	980.482	29	0.0380162
833	981.414	25	0.0377998
834	982.346	30.5	0.0375853
835	983.276	28	0.0373732
836	984.207	32	0.0371628
837	985.137	29	0.0369544
838	986.067	30	0.0367479
839	986.998	30.5	0.0365429
